seed,mode,epoch,val_loss,val_acc
100,plain_lstm,1,2.303016781806946,10.0
100,plain_lstm,2,2.3026143312454224,10.0
100,plain_lstm,3,2.372698664665222,10.0
100,plain_lstm,4,2.1551088094711304,20.25
100,plain_lstm,5,2.0000977516174316,19.8
100,plain_lstm,6,1.936740756034851,29.349999999999998
100,plain_lstm,7,1.8746965527534485,29.15
100,plain_lstm,8,1.9155874848365784,28.499999999999996
100,plain_lstm,9,1.8807899951934814,29.25
100,plain_lstm,10,1.8267804980278015,29.099999999999998
100,plain_lstm,11,1.8031522631645203,31.0
100,plain_lstm,12,1.7304527163505554,35.0
100,plain_lstm,13,1.8103936910629272,30.2
100,plain_lstm,14,1.8579607605934143,29.7
100,plain_lstm,15,1.73997563123703,33.45
100,resnet_lstm,1,2.3089712858200073,10.0
100,resnet_lstm,2,2.305724024772644,10.0
100,resnet_lstm,3,2.3050575256347656,10.0
100,resnet_lstm,4,2.303822159767151,10.0
100,resnet_lstm,5,2.304021954536438,10.0
100,resnet_lstm,6,2.3037763833999634,10.0
100,resnet_lstm,7,2.3086602687835693,10.0
100,resnet_lstm,8,2.3035417795181274,10.0
100,resnet_lstm,9,2.3030900955200195,10.100000000000001
100,resnet_lstm,10,2.3061500787734985,10.0
100,resnet_lstm,11,2.2970532178878784,9.9
100,resnet_lstm,12,2.3022016286849976,10.8
100,resnet_lstm,13,2.19996440410614,12.8
100,resnet_lstm,14,1.8674342036247253,22.85
100,resnet_lstm,15,1.6954680681228638,31.900000000000002
100,fen_lstm,1,2.304566264152527,10.0
100,fen_lstm,2,2.303329110145569,10.0
100,fen_lstm,3,2.303408980369568,10.0
100,fen_lstm,4,2.300889492034912,14.299999999999999
100,fen_lstm,5,2.3035221099853516,10.0
100,fen_lstm,6,2.3030298948287964,10.0
100,fen_lstm,7,2.305154800415039,10.299999999999999
100,fen_lstm,8,2.3031173944473267,10.2
100,fen_lstm,9,2.300838589668274,12.45
100,fen_lstm,10,1.9988349676132202,20.4
100,fen_lstm,11,1.9822838306427002,22.05
100,fen_lstm,12,1.8836926221847534,26.450000000000003
100,fen_lstm,13,1.750579833984375,33.550000000000004
100,fen_lstm,14,1.739246904850006,34.8
100,fen_lstm,15,1.6134130954742432,38.75
100,fen_rotational_lstm,1,2.3056589365005493,10.0
100,fen_rotational_lstm,2,2.3035322427749634,10.0
100,fen_rotational_lstm,3,2.308582067489624,10.0
100,fen_rotational_lstm,4,2.3004353046417236,10.0
100,fen_rotational_lstm,5,2.056406617164612,21.05
100,fen_rotational_lstm,6,1.9473434686660767,26.200000000000003
100,fen_rotational_lstm,7,1.8557382225990295,29.65
100,fen_rotational_lstm,8,1.8261452317237854,29.25
100,fen_rotational_lstm,9,1.7710084319114685,30.599999999999998
100,fen_rotational_lstm,10,1.726736843585968,33.2
100,fen_rotational_lstm,11,1.6910996437072754,34.35
100,fen_rotational_lstm,12,1.6883217692375183,35.85
100,fen_rotational_lstm,13,1.6325172185897827,38.75
100,fen_rotational_lstm,14,1.653261423110962,35.55
100,fen_rotational_lstm,15,1.534905195236206,41.949999999999996
200,plain_lstm,1,2.3030179738998413,10.0
200,plain_lstm,2,2.283759593963623,16.900000000000002
200,plain_lstm,3,1.9922739267349243,20.349999999999998
200,plain_lstm,4,1.963792622089386,23.799999999999997
200,plain_lstm,5,2.077561378479004,21.099999999999998
200,plain_lstm,6,1.8850551843643188,27.85
200,plain_lstm,7,1.80837082862854,30.65
200,plain_lstm,8,1.6976003050804138,38.45
200,plain_lstm,9,1.6057870388031006,35.05
200,plain_lstm,10,1.5081079602241516,41.05
200,plain_lstm,11,1.4724634289741516,42.15
200,plain_lstm,12,1.4199621081352234,43.85
200,plain_lstm,13,1.4071123003959656,45.1
200,plain_lstm,14,1.390243947505951,44.5
200,plain_lstm,15,1.434568464756012,44.15
200,resnet_lstm,1,2.3071537017822266,10.549999999999999
200,resnet_lstm,2,2.303302764892578,10.0
200,resnet_lstm,3,2.233898162841797,15.7
200,resnet_lstm,4,2.079117774963379,23.05
200,resnet_lstm,5,2.071544885635376,25.45
200,resnet_lstm,6,1.8451024889945984,30.2
200,resnet_lstm,7,1.7635902762413025,34.150000000000006
200,resnet_lstm,8,1.751462697982788,32.25
200,resnet_lstm,9,1.7320408821105957,34.449999999999996
200,resnet_lstm,10,1.6985228657722473,36.9
200,resnet_lstm,11,1.5484546422958374,41.349999999999994
200,resnet_lstm,12,1.4393601417541504,42.55
200,resnet_lstm,13,1.447345793247223,42.95
200,resnet_lstm,14,1.3651558756828308,46.150000000000006
200,resnet_lstm,15,1.283630132675171,51.1
200,fen_lstm,1,2.3060144186019897,10.0
200,fen_lstm,2,2.303408980369568,10.0
200,fen_lstm,3,2.3021868467330933,10.0
200,fen_lstm,4,2.3055226802825928,10.0
200,fen_lstm,5,2.298184871673584,10.9
200,fen_lstm,6,2.1153875589370728,19.45
200,fen_lstm,7,2.0721700191497803,20.599999999999998
200,fen_lstm,8,1.8938140869140625,25.2
200,fen_lstm,9,1.8228976130485535,29.099999999999998
200,fen_lstm,10,1.7972482442855835,30.45
200,fen_lstm,11,1.7521871328353882,31.45
200,fen_lstm,12,1.699323296546936,37.05
200,fen_lstm,13,1.6498449444770813,35.0
200,fen_lstm,14,1.6639402508735657,34.5
200,fen_lstm,15,1.6090649366378784,37.15
200,fen_rotational_lstm,1,2.305267572402954,10.0
200,fen_rotational_lstm,2,2.303434371948242,10.0
200,fen_rotational_lstm,3,2.3030858039855957,10.0
200,fen_rotational_lstm,4,2.3065524101257324,10.299999999999999
200,fen_rotational_lstm,5,2.0579593181610107,18.65
200,fen_rotational_lstm,6,1.9794209599494934,22.05
200,fen_rotational_lstm,7,1.7787967324256897,28.849999999999998
200,fen_rotational_lstm,8,1.4959179162979126,40.949999999999996
200,fen_rotational_lstm,9,1.529477596282959,38.65
200,fen_rotational_lstm,10,1.4593355059623718,42.95
200,fen_rotational_lstm,11,1.5204013586044312,40.1
200,fen_rotational_lstm,12,1.5614111423492432,38.0
200,fen_rotational_lstm,13,1.3962374329566956,44.3
200,fen_rotational_lstm,14,1.3786092400550842,46.25
200,fen_rotational_lstm,15,1.3169870972633362,49.05
